"gene"
"INO80B"
"MTRNR2L1"
"RPS4Y1"
"ZFY"
"PRKY"
"DDX3Y"
"UTY"
"TMSB4Y"
"KDM5D"
"EIF1AY"
"RPS4X"
"RPS4Y2"
"GBP5"
"LY6E"
"WDR6"
"PRH2"
"PRB3"
"IFI6"
"TSPYL4"
"NBPF26"
